REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
Eastern,7,Laghman,704,Alingar,24/03/2020,Flood / flash flood,0,0,30,170,30,0
Eastern,7,Laghman,701,Mehtarlam,24/03/2020,Flood / flash flood,0,0,11,74,11,0
Eastern,13,Kunar,1302,Watapur,24/03/2020,Flood / flash flood,0,0,8,56,8,0
Eastern,13,Kunar,1310,Dangam,24/03/2020,Flood / flash flood,0,0,12,84,12,0
Eastern,13,Kunar,1313,Chapadara,24/03/2020,Flood / flash flood,0,0,14,107,14,0
Eastern,13,Kunar,1307,Dara-e-Pech,24/03/2020,Flood / flash flood,0,0,2,16,2,0
South Eastern,11,Ghazni,1101,Ghazni,25/03/2020,Flood / flash flood,0,0,7,49,3,0
North Eastern,16,Takhar,1610,Chahab,28/03/2020,Flood / flash flood,0,0,4,28,0,4
Capital,1,Kabul,103,Shakardara,29/03/2020,Flood / flash flood,0,0,10,70,10,0
Capital,3,Parwan,306,Salang,29/03/2020,Flood / flash flood,0,0,3,21,3,0
Capital,3,Parwan,305,Saydkhel,29/03/2020,Flood / flash flood,0,0,3,21,3,0
Capital,1,Kabul,107,Bagrami,29/03/2020,Flood / flash flood,0,0,8,56,8,0
Capital,3,Parwan,302,Jabalussaraj,29/03/2020,Flood / flash flood,0,0,3,21,3,0
Southern,34,Nimroz,3404,Chakhansur,29/03/2020,Flood / flash flood,0,0,47,286,0,47
Capital,2,Kapisa,207,Hisa-e- Awal-e- Kohestan,29/03/2020,Flood / flash flood,0,0,10,70,0,0
Capital,3,Parwan,301,Charikar,29/03/2020,Flood / flash flood,0,0,3,21,3,0
Capital,3,Parwan,304,Bagram,29/03/2020,Flood / flash flood,0,0,3,21,3,0
Capital,1,Kabul,104,Paghman,29/03/2020,Flood / flash flood,0,0,10,70,10,0
Capital,2,Kapisa,201,Mahmud-e-Raqi,29/03/2020,Flood / flash flood,0,0,11,77,0,0
Capital,2,Kapisa,204,Hisa-e-Duwum-e-Kohestan,29/03/2020,Flood / flash flood,0,0,15,105,0,0
South Eastern,25,Paktika,2509,Sarobi,30/03/2020,Flood / flash flood,0,0,7,49,7,0
South Eastern,25,Paktika,2510,Urgun,30/03/2020,Flood / flash flood,0,0,5,35,5,0
South Eastern,11,Ghazni,1104,Waghaz,30/03/2020,Flood / flash flood,0,0,0,0,0,0
South Eastern,25,Paktika,2501,Sharan,30/03/2020,Flood / flash flood,0,0,8,56,8,0
